MemberID,Sex,YearJoined,year,Status,Age,fitness,racquets,dock,city_dining,island_dining,bar_spending,other_spending
195,F,2020,2017,ACTIVE,46,Y,N,N,1223,487,1047,1710
195,F,2020,2020,ACTIVE,49,Y,N,NA,NA,NA,NA,NA
2503,M,2003,2017,ACTIVE,62,N,N,N,79,923,2383,1003
2503,M,2003,2020,ACTIVE,65,N,N,NA,NA,NA,NA,NA
3001,F,2003,2017,ACTIVE,26,Y,N,N,378,169,78,546
3001,F,2003,2020,ACTIVE,29,N,N,NA,NA,NA,NA,NA
698,M,1997,2017,ACTIVE,45,Y,N,N,706,0,153,705
698,M,1997,2020,ACTIVE,48,Y,N,NA,NA,NA,NA,NA
4029,M,1998,2017,ACTIVE,73,N,Y,N,107,119,466,224
4029,M,1998,2020,ACTIVE,76,N,N,NA,NA,NA,NA,NA
1405,F,2014,2017,ACTIVE,29,Y,N,N,0,103,0,103
1405,F,2014,2020,ACTIVE,32,N,N,NA,NA,NA,NA,NA
904,M,2001,2017,ACTIVE,57,N,N,Y,231,225,672,456
904,M,2001,2020,ACTIVE,60,N,N,NA,NA,NA,NA,NA
3814,M,1994,2017,ACTIVE,52,N,N,Y,224,444,230,668
3814,M,1994,2020,ACTIVE,55,N,N,NA,NA,NA,NA,NA
1249,M,2000,2017,ACTIVE,27,Y,Y,N,17,119,609,137
1249,M,2000,2020,ACTIVE,30,Y,Y,NA,NA,NA,NA,NA
2109,F,2014,2017,ACTIVE,39,Y,N,N,686,63,0,749
2109,F,2014,2020,ACTIVE,42,Y,N,NA,NA,NA,NA,NA
56,M,2019,2017,ACTIVE,48,N,N,N,274,32,22,305
56,M,2019,2020,ACTIVE,51,N,N,NA,NA,NA,NA,NA
2039,M,2013,2017,ACTIVE,25,N,N,N,0,85,215,85
2039,M,2013,2020,ACTIVE,28,Y,N,NA,NA,NA,NA,NA
860,M,1999,2017,ACTIVE,37,N,N,N,650,622,274,1272
860,M,1999,2020,ACTIVE,40,N,N,NA,NA,NA,NA,NA
1234,M,2004,2017,ACTIVE,67,N,N,Y,125,1063,134,1187
1234,M,2004,2020,ACTIVE,70,N,N,NA,NA,NA,NA,NA
1852,M,1992,2017,ACTIVE,40,Y,N,Y,22,76,194,98
1852,M,1992,2020,ACTIVE,43,N,N,NA,NA,NA,NA,NA
2679,F,2005,2017,ACTIVE,29,N,N,N,63,72,440,135
2679,F,2005,2020,ACTIVE,32,N,N,NA,NA,NA,NA,NA
982,M,1975,2017,ACTIVE,72,Y,N,N,51,231,210,280
982,M,1975,2020,ACTIVE,75,Y,N,NA,NA,NA,NA,NA
716,M,2015,2017,ACTIVE,27,N,N,N,0,40,10,40
716,M,2015,2020,ACTIVE,30,N,N,NA,NA,NA,NA,NA
3783,M,2009,2017,ACTIVE,55,N,N,Y,0,1892,462,1891
3783,M,2009,2020,ACTIVE,58,N,N,NA,NA,NA,NA,NA
2440,M,2008,2017,ACTIVE,26,Y,N,N,0,433,1653,433
2440,M,2008,2020,ACTIVE,29,Y,N,NA,NA,NA,NA,NA
2004,M,1994,2017,ACTIVE,40,Y,Y,N,226,332,109,557
2004,M,1994,2020,ACTIVE,43,Y,N,NA,NA,NA,NA,NA
2288,F,2016,2017,HOLDOVER,36,N,N,N,NA,NA,NA,NA
2288,F,2016,2020,ACTIVE,39,N,N,NA,NA,NA,NA,NA
3910,F,2019,2017,HOLDOVER,33,Y,N,N,NA,NA,NA,NA
3910,F,2019,2020,ACTIVE,36,Y,N,NA,NA,NA,NA,NA
2433,M,1997,2017,ACTIVE,71,Y,N,N,42,0,37,41
2433,M,1997,2020,ACTIVE,74,Y,N,NA,NA,NA,NA,NA
1652,F,2005,2017,HOLDOVER,31,N,N,N,NA,NA,NA,NA
1652,F,2005,2020,ACTIVE,34,Y,N,NA,NA,NA,NA,NA
4062,M,2001,2017,ACTIVE,36,N,N,N,20,101,25,121
4062,M,2001,2020,ACTIVE,39,N,N,NA,NA,NA,NA,NA
3468,M,2017,2017,ACTIVE,49,N,N,N,245,585,135,830
3468,M,2017,2020,ACTIVE,52,N,N,NA,NA,NA,NA,NA
386,M,2003,2017,ACTIVE,47,N,N,N,949,0,48,950
386,M,2003,2020,ACTIVE,50,N,N,NA,NA,NA,NA,NA
4010,F,2015,2017,ACTIVE,31,N,N,N,0,16,50,16
4010,F,2015,2020,ACTIVE,34,N,N,NA,NA,NA,NA,NA
3543,F,1974,2017,ACTIVE,67,N,N,N,76,241,172,317
3543,F,1974,2020,ACTIVE,70,N,N,NA,NA,NA,NA,NA
4124,F,2013,2017,ACTIVE,24,N,N,N,0,36,0,36
4124,F,2013,2020,ACTIVE,27,Y,Y,NA,NA,NA,NA,NA
1325,M,2012,2017,ACTIVE,28,Y,N,N,657,237,91,894
1325,M,2012,2020,ACTIVE,31,Y,N,NA,NA,NA,NA,NA
1437,F,1987,2017,ACTIVE,68,N,N,N,158,75,625,233
1437,F,1987,2020,ACTIVE,71,N,N,NA,NA,NA,NA,NA
1772,M,1989,2017,HOLDOVER,68,N,N,N,NA,NA,NA,NA
1772,M,1989,2020,ACTIVE,71,N,N,NA,NA,NA,NA,NA
303,M,2020,2017,ACTIVE,26,N,N,N,27,343,754,370
303,M,2020,2020,ACTIVE,29,Y,N,NA,NA,NA,NA,NA
2406,M,2000,2017,ACTIVE,67,N,N,N,0,603,186,603
2406,M,2000,2020,ACTIVE,70,N,N,NA,NA,NA,NA,NA
3489,M,2012,2017,ACTIVE,29,Y,Y,N,381,362,1188,744
3489,M,2012,2020,ACTIVE,32,Y,Y,NA,NA,NA,NA,NA
825,F,2017,2017,ACTIVE,65,N,N,N,0,0,80,0
825,F,2017,2020,ACTIVE,68,Y,N,NA,NA,NA,NA,NA
1946,M,1967,2017,ACTIVE,76,N,N,N,260,0,64,260
1946,M,1967,2020,ACTIVE,79,N,N,NA,NA,NA,NA,NA
2823,M,2001,2017,ACTIVE,51,N,N,N,307,690,545,994
2823,M,2001,2020,ACTIVE,54,N,N,NA,NA,NA,NA,NA
3127,F,2014,2017,ACTIVE,46,N,N,N,211,392,273,603
3127,F,2014,2020,ACTIVE,49,N,N,NA,NA,NA,NA,NA
2516,F,1992,2017,ACTIVE,54,Y,N,Y,30,232,345,261
2516,F,1992,2020,ACTIVE,57,N,N,NA,NA,NA,NA,NA
100,F,2008,2017,ACTIVE,67,N,N,N,0,0,233,0
100,F,2008,2020,ACTIVE,70,N,N,NA,NA,NA,NA,NA
1549,M,2019,2017,ACTIVE,38,N,Y,N,9,168,632,177
1549,M,2019,2020,ACTIVE,41,N,Y,NA,NA,NA,NA,NA
579,F,2014,2017,ACTIVE,58,N,N,N,98,268,495,367
579,F,2014,2020,ACTIVE,61,Y,N,NA,NA,NA,NA,NA
2400,M,1971,2017,ACTIVE,78,N,N,N,117,0,216,117
2400,M,1971,2020,ACTIVE,81,N,N,NA,NA,NA,NA,NA
337,M,1996,2017,ACTIVE,46,N,N,N,752,494,0,1246
337,M,1996,2020,HOLDOVER,49,N,N,NA,NA,NA,NA,NA
1015,M,2006,2017,ACTIVE,28,Y,N,N,173,85,386,257
1015,M,2006,2020,ACTIVE,31,Y,N,NA,NA,NA,NA,NA
3522,F,1988,2017,ACTIVE,46,Y,N,N,233,451,238,684
3522,F,1988,2020,ACTIVE,49,N,N,NA,NA,NA,NA,NA
1365,F,1998,2017,ACTIVE,36,N,N,N,248,285,201,534
1365,F,1998,2020,ACTIVE,39,N,N,NA,NA,NA,NA,NA
3673,M,2010,2017,ACTIVE,28,N,N,N,189,223,173,411
3673,M,2010,2020,ACTIVE,31,N,N,NA,NA,NA,NA,NA
3257,F,2001,2017,ACTIVE,51,Y,N,N,226,0,0,225
3257,F,2001,2020,ACTIVE,54,N,N,NA,NA,NA,NA,NA
2363,M,1986,2017,ACTIVE,75,N,N,N,158,454,1560,612
2363,M,1986,2020,ACTIVE,78,N,N,NA,NA,NA,NA,NA
2518,F,2014,2017,ACTIVE,28,N,N,N,0,320,191,320
2518,F,2014,2020,ACTIVE,31,N,N,NA,NA,NA,NA,NA
2244,M,2008,2017,ACTIVE,51,Y,Y,N,1183,290,239,1473
2244,M,2008,2020,ACTIVE,54,Y,Y,NA,NA,NA,NA,NA
45,M,2007,2017,HOLDOVER,26,N,N,N,NA,NA,NA,NA
45,M,2007,2020,HOLDOVER,29,N,N,NA,NA,NA,NA,NA
2866,F,1970,2017,ACTIVE,64,N,N,N,84,195,208,277
2866,F,1970,2020,ACTIVE,67,N,N,NA,NA,NA,NA,NA
3999,F,1998,2017,ACTIVE,66,Y,N,N,168,749,1129,916
3999,F,1998,2020,ACTIVE,69,Y,N,NA,NA,NA,NA,NA
517,M,2003,2017,ACTIVE,25,Y,Y,N,117,62,188,179
517,M,2003,2020,ACTIVE,28,Y,Y,NA,NA,NA,NA,NA
3080,M,2020,2017,ACTIVE,50,Y,Y,N,437,156,197,594
3080,M,2020,2020,ACTIVE,53,Y,N,NA,NA,NA,NA,NA
3594,M,2006,2017,ACTIVE,40,N,Y,N,574,30,114,603
3594,M,2006,2020,ACTIVE,43,N,Y,NA,NA,NA,NA,NA
3857,M,2004,2017,ACTIVE,61,Y,N,N,1175,0,823,1175
3857,M,2004,2020,ACTIVE,64,Y,N,NA,NA,NA,NA,NA
564,M,1983,2017,ACTIVE,67,Y,Y,Y,172,1080,1113,1252
564,M,1983,2020,ACTIVE,70,N,N,NA,NA,NA,NA,NA
39,M,1981,2017,HOLDOVER,63,N,N,N,NA,NA,NA,NA
39,M,1981,2020,ACTIVE,66,N,N,NA,NA,NA,NA,NA
2508,F,2017,2017,ACTIVE,30,Y,Y,N,47,113,229,160
2508,F,2017,2020,HOLDOVER,33,N,N,NA,NA,NA,NA,NA
1302,M,1991,2017,ACTIVE,53,Y,N,N,16,43,456,60
1302,M,1991,2020,ACTIVE,56,Y,N,NA,NA,NA,NA,NA
2647,F,1982,2017,ACTIVE,80,N,N,N,22,167,103,190
2647,F,1982,2020,ACTIVE,83,N,N,NA,NA,NA,NA,NA
1395,F,2005,2017,ACTIVE,65,Y,N,N,540,391,479,930
1395,F,2005,2020,ACTIVE,68,Y,N,NA,NA,NA,NA,NA
1049,M,2008,2017,ACTIVE,32,N,N,N,23,0,103,24
1049,M,2008,2020,ACTIVE,35,N,N,NA,NA,NA,NA,NA
224,F,1997,2017,ACTIVE,60,Y,N,N,119,39,0,158
224,F,1997,2020,ACTIVE,63,Y,N,NA,NA,NA,NA,NA
2237,F,2007,2017,ACTIVE,53,Y,N,N,633,145,572,780
2237,F,2007,2020,ACTIVE,56,N,N,NA,NA,NA,NA,NA
2269,M,1983,2017,ACTIVE,69,N,N,N,781,0,23,780
2269,M,1983,2020,ACTIVE,72,N,N,NA,NA,NA,NA,NA
1362,F,1994,2017,ACTIVE,47,N,N,N,474,666,125,1141
1362,F,1994,2020,ACTIVE,50,N,N,NA,NA,NA,NA,NA
2765,M,1989,2017,ACTIVE,60,Y,N,N,156,24,0,180
2765,M,1989,2020,ACTIVE,63,Y,N,NA,NA,NA,NA,NA
1465,M,2016,2017,ACTIVE,51,N,N,N,529,614,159,1143
1465,M,2016,2020,ACTIVE,54,N,N,NA,NA,NA,NA,NA
3311,M,1978,2017,ACTIVE,74,Y,N,Y,160,396,169,557
3311,M,1978,2020,ACTIVE,77,Y,N,NA,NA,NA,NA,NA
3509,M,2014,2017,ACTIVE,72,N,N,Y,0,437,2,438
3509,M,2014,2020,ACTIVE,75,N,N,NA,NA,NA,NA,NA
720,M,1975,2017,ACTIVE,71,N,N,N,11,79,192,89
720,M,1975,2020,ACTIVE,74,N,N,NA,NA,NA,NA,NA
2564,M,2012,2017,ACTIVE,38,N,Y,N,406,0,36,406
2564,M,2012,2020,ACTIVE,41,N,N,NA,NA,NA,NA,NA
2470,M,2016,2017,ACTIVE,59,Y,Y,N,229,627,908,857
2470,M,2016,2020,ACTIVE,62,Y,Y,NA,NA,NA,NA,NA
3436,M,2018,2017,ACTIVE,53,Y,N,N,34,862,404,896
3436,M,2018,2020,ACTIVE,56,Y,N,NA,NA,NA,NA,NA
